lat,lon,Power
36.1163054,-97.0850683,6.5874999999999995
36.1163153,-97.0850686,6.58375
36.11633,-97.0850804,6.578749999999999
36.1163326,-97.0850817,6.584999999999999
36.1163336,-97.0850694,6.579999999999999
36.116339,-97.0850681,6.575
36.116355,-97.0850874,6.576250000000001
36.116358,-97.0850979,6.569999999999999
36.1163701,-97.0851103,6.579999999999999
36.1163775,-97.085109,6.58125
36.1163883,-97.0851333,6.56125
36.1163965,-97.085152,6.574999999999999
36.116373,-97.0851669,6.575000000000001
36.1163272,-97.0851774,6.574999999999999
36.1162512,-97.0851841,6.56875
36.1161706,-97.0851826,6.57
36.1160928,-97.0851773,6.5787499999999985
36.1160497,-97.0851642,6.5687500000000005
36.1160424,-97.0851782,6.573749999999999
36.1160144,-97.085159,6.57625
36.115973,-97.0851344,6.569999999999999
36.1159008,-97.0851419,6.577500000000001
36.1158071,-97.0851522,6.575
36.1156867,-97.0851534,6.571249999999999
36.115542,-97.0851554,6.57
36.1153753,-97.0851475,6.574999999999999
36.1151933,-97.085127,6.57375
36.1150115,-97.0851062,6.5737499999999995
36.1148074,-97.0850649,6.57
36.114608,-97.0850339,6.574999999999999
36.1143978,-97.0850042,6.5775
36.1141728,-97.0849513,6.574999999999999
36.1139613,-97.0849241,6.563750000000001
36.1137439,-97.0848988,6.571249999999999
36.1135349,-97.0848928,6.57375
36.1133223,-97.0848832,6.573750000000001
36.1131146,-97.0848706,6.57625
36.1129114,-97.0848712,6.57375
36.1127282,-97.0848786,6.5725
36.1125602,-97.0848867,6.57125
36.1124036,-97.084892,6.576250000000001
36.1122738,-97.0848857,6.578749999999999
36.1121791,-97.0848683,6.56625
36.1121216,-97.0848596,6.58125
36.1120771,-97.0848264,6.571249999999999
36.1120454,-97.0847717,6.581249999999999
36.1120047,-97.0847016,6.5675
36.1119501,-97.0846439,6.5775
36.111919,-97.0846172,6.575
36.1118728,-97.0846286,6.5825
36.1118634,-97.0847468,6.575000000000001
36.1118859,-97.0849004,6.58
36.1119048,-97.0850641,6.581250000000001
36.1119312,-97.0852506,6.578749999999999
36.1119444,-97.0854305,6.5825
36.1119658,-97.0856265,6.576249999999999
36.1119934,-97.0858527,6.56875
36.1120237,-97.0860803,6.576249999999999
36.1120386,-97.0862858,6.573749999999999
36.1120571,-97.0864782,6.578749999999999
36.1120831,-97.0866738,6.5737499999999995
36.112096,-97.0868192,6.57625
36.1121238,-97.086961,6.575
36.1121282,-97.0870292,6.57625
36.1121485,-97.087095,6.572500000000002
36.1121638,-97.0871413,6.573749999999999
36.1122122,-97.0871906,6.57625
36.1123073,-97.0872025,6.581250000000001
36.1124582,-97.0872163,6.5875
36.112619,-97.0872378,6.5825
36.1127973,-97.0872437,6.575
36.1130085,-97.0872554,6.57625
36.1132184,-97.0872698,6.578749999999999
36.1134209,-97.0872822,6.576249999999999
36.1136,-97.0873087,6.571249999999999
36.1137532,-97.0873005,6.56875
36.1138847,-97.0873066,6.57625
36.1139672,-97.0873486,6.56625
36.1140008,-97.0874296,6.56875
36.1140199,-97.0874917,6.57125
36.1140414,-97.0875444,6.566249999999999
36.1140989,-97.0875926,6.574999999999999
36.1141529,-97.0875826,6.581250000000001
36.1142219,-97.0875496,6.571249999999999
36.1142812,-97.0875232,6.5725
36.1143592,-97.0875165,6.576249999999999
36.1144303,-97.0875205,6.5725
36.1144573,-97.0875204,6.566249999999999
36.1144617,-97.0875189,6.57625
36.1144629,-97.0875137,6.571249999999999
36.1144591,-97.0875085,6.58
36.1144552,-97.0875076,6.569999999999999
36.1144545,-97.0875103,6.578749999999999
36.1144633,-97.0875221,6.58
36.1144965,-97.0875524,6.5725
36.114498,-97.0875582,6.57
36.1144985,-97.0875616,6.579999999999999
36.1145083,-97.0875737,6.57
36.1144627,-97.0875236,6.572500000000001
36.1144685,-97.0875291,6.57375
36.1144601,-97.0875086,6.56875
36.1144832,-97.0874567,6.581249999999999
36.1144691,-97.0874418,6.575
36.1144769,-97.0874606,6.5725
36.11447,-97.0874461,6.5725
36.1144581,-97.0874283,6.57125
36.1144616,-97.0874243,6.57375
36.1144717,-97.0874344,6.5825000000000005
36.114483,-97.0874495,6.577500000000001
36.1145121,-97.0874638,6.58
36.1145552,-97.0874709,6.5775
36.1145807,-97.0874557,6.58
36.1146143,-97.0874448,6.57625
36.1145936,-97.0873874,6.57625
36.114586,-97.0873595,6.5687500000000005
36.1145852,-97.0873278,6.575
36.1145892,-97.0872747,6.578749999999999
36.114616,-97.0872229,6.576249999999999
36.1146774,-97.0872058,6.572500000000001
36.1147489,-97.0871869,6.57625
36.1148653,-97.0872061,6.575
36.1149978,-97.0872157,6.572500000000001
36.1151356,-97.0872139,6.5737499999999995
36.1152685,-97.0871957,6.571249999999999
36.115396,-97.0872038,6.57
36.1155032,-97.0872136,6.57875
36.1155731,-97.0872254,6.574999999999999
36.1156031,-97.0872303,6.58125
36.1156201,-97.0872358,6.576250000000001
36.1156203,-97.0872344,6.571249999999998
36.1156232,-97.0872388,6.577500000000001
36.1156177,-97.0872399,6.5737499999999995
36.1156278,-97.0872482,6.572499999999999
36.1156394,-97.0871902,6.569999999999999
36.1156422,-97.0871991,6.577500000000001
36.1156623,-97.0872232,6.57375
36.1156633,-97.0872348,6.576250000000001
36.1156632,-97.0872277,6.5825
36.1156688,-97.0872397,6.572499999999999
36.1156699,-97.0872539,6.57125
36.1156784,-97.0872564,6.57125
36.1157286,-97.0872588,6.576249999999999
36.1158239,-97.0872639,6.58
36.1159577,-97.0872829,6.565
36.1161282,-97.0872825,6.577500000000001
36.1162964,-97.0872771,6.577500000000001
36.1164898,-97.0872698,6.5725
36.1167149,-97.0872575,6.58125
36.1169355,-97.0872393,6.5675
36.1171647,-97.0872193,6.58875
36.1174188,-97.0872121,6.577500000000001
